time_step,entropy,complexity
638,0.89812307,0.32883558
639,0.91829583,0.31084458
640,0.88534544,0.31184408
641,0.90956477,0.30984508
642,0.89183638,0.32283858
643,0.90475063,0.31984008
644,0.91373227,0.30984508
645,0.89183638,0.33083458
646,0.92224205,0.33583208
647,0.91678928,0.32883558
648,0.90690674,0.32783608
649,0.91879477,0.32083958
650,0.89586050,0.33283358
651,0.91929209,0.32883558
652,0.91218174,0.31984008
653,0.89642866,0.33683158
654,0.92796814,0.33283358
655,0.91628385,0.32583708
656,0.90744164,0.31684158
657,0.91424584,0.32983508
658,0.91166162,0.34782609
659,0.92077434,0.34582709
660,0.92465602,0.33583208
661,0.90744164,0.33883058
662,0.92028188,0.34382809
663,0.92369526,0.33983008
664,0.91779527,0.34282859
665,0.92417644,0.32983508
666,0.89755994,0.34882559
667,0.93524524,0.33983008
668,0.90956477,0.33883058
669,0.91929209,0.35282359
670,0.92982560,0.35082459
671,0.92982560,0.33483258
672,0.92028188,0.32583708
673,0.90744164,0.33183408
674,0.92465602,0.34082959
675,0.92890006,0.33283358
676,0.91929209,0.34082959
677,0.92513398,0.35282359
678,0.93256399,0.35082459
679,0.92126519,0.34482759
680,0.93524524,0.35282359
681,0.92126519,0.35782109
682,0.93656451,0.35182409
683,0.92175443,0.33783108
684,0.93028597,0.33283358
685,0.91628385,0.35382309
686,0.94253375,0.35282359
687,0.92321247,0.34282859
688,0.93346408,0.34182909
689,0.91779527,0.35782109
690,0.93301483,0.35482259
691,0.93435783,0.35282359
692,0.91829583,0.35282359
693,0.93346408,0.36081959
694,0.93435783,0.37081459
695,0.94540323,0.36081959
696,0.92982560,0.34382809
697,0.93656451,0.33883058
698,0.91729309,0.36081959
699,0.95539549,0.34382809
700,0.92369526,0.34682659
701,0.93612633,0.35182409
702,0.93568658,0.34982509
703,0.93916047,0.34382809
704,0.93211157,0.34082959
705,0.93612633,0.35682159
706,0.92982560,0.37381309
707,0.95355496,0.35882059
708,0.93786958,0.34582709
709,0.93211157,0.35782109
710,0.94418282,0.36981509
711,0.95129551,0.36281859
712,0.93958762,0.35682159
713,0.94377289,0.35882059
714,0.93958762,0.37081459
715,0.94540323,0.36681659
716,0.94858920,0.35482259
717,0.92890006,0.36581709
718,0.94499799,0.37481259
719,0.95318223,0.35382309
720,0.93830145,0.35382309
721,0.93830145,0.36181909
722,0.94085965,0.37781109
723,0.95355496,0.37481259
724,0.94128053,0.37381309
725,0.94975833,0.36781609
726,0.94740611,0.36581709
727,0.94660963,0.36981509
728,0.94898046,0.36681659
729,0.94858920,0.35882059
730,0.93786958,0.36981509
731,0.95429578,0.36381809
732,0.94898046,0.35882059
733,0.93612633,0.36481759
734,0.95091353,0.36581709
735,0.95429578,0.36881559
736,0.94540323,0.36781609
737,0.94580692,0.35882059
738,0.94128053,0.37181409
739,0.95429578,0.36981509
740,0.95503046,0.36381809
741,0.94499799,0.37181409
742,0.95930972,0.36681659
743,0.95014494,0.36381809
744,0.95355496,0.36481759
745,0.95466389,0.37681159
746,0.95167594,0.38980510
747,0.96270778,0.37981009
748,0.95429578,0.36081959
749,0.94780203,0.37981009
750,0.96068722,0.38880560
751,0.96499600,0.37281359
752,0.94700865,0.36781609
753,0.95355496,0.37981009
754,0.94660963,0.39980010
755,0.97312903,0.37981009
756,0.94253375,0.38080960
757,0.95684028,0.38880560
758,0.96237482,0.37981009
759,0.95575899,0.36681659
760,0.94937017,0.36581709
761,0.95280797,0.37481259
762,0.96170435,0.38580710
763,0.95861181,0.37481259
764,0.96237482,0.37281359
765,0.94858920,0.39980010
766,0.97478777,0.38680660
767,0.95896153,0.36681659
768,0.95684028,0.36281859
769,0.96102778,0.38380810
770,0.94898046,0.40279860
771,0.97665503,0.38780610
772,0.94819639,0.38680660
773,0.96813623,0.38380810
774,0.96068722,0.38180910
775,0.96204034,0.37681159
776,0.96170435,0.36981509
777,0.96204034,0.38080960
778,0.95684028,0.40379810
779,0.97083354,0.39780110
780,0.97141641,0.38080960
781,0.96034513,0.39180410
782,0.97083354,0.39180410
783,0.97083354,0.37081459
784,0.96102778,0.36981509
785,0.95719765,0.39380310
786,0.96467366,0.41979010
787,0.97691583,0.41379310
788,0.96068722,0.41479260
789,0.97505899,0.40379810
790,0.96467366,0.39780110
791,0.97141641,0.38980510
792,0.96658500,0.38480760
793,0.96752026,0.39380310
794,0.96531682,0.40979510
795,0.97083354,0.41279360
796,0.97451505,0.40079960
797,0.96170435,0.41079460
798,0.97869971,0.40679660
799,0.97665503,0.39380310
800,0.96068722,0.40279860
801,0.97768927,0.40679660
802,0.96102778,0.41379310
803,0.98088639,0.40379810
804,0.96531682,0.40779610
805,0.97256415,0.41979010
806,0.97944195,0.41679160
807,0.97340922,0.40979510
808,0.97992936,0.39280360
809,0.96689826,0.40879560
810,0.97612898,0.42378811
811,0.97639275,0.40479760
812,0.97768927,0.39480260
813,0.96752026,0.41379310
814,0.98404969,0.42378811
815,0.97639275,0.40479760
816,0.97665503,0.39480260
817,0.96874617,0.40779610
818,0.96782900,0.43278361
819,0.98898074,0.41279360
820,0.97284734,0.41879060
821,0.97869971,0.42178911
822,0.98447798,0.40179910
823,0.97024467,0.40479760
824,0.97717513,0.40079960
825,0.98158862,0.39780110
826,0.97256415,0.41079460
827,0.98339620,0.40979510
828,0.97743294,0.41079460
829,0.97559697,0.42178911
830,0.98272943,0.41379310
831,0.98041084,0.40579710
832,0.97424083,0.40279860
833,0.98204938,0.40479760
834,0.97053985,0.43578211
835,0.99019725,0.41879060
836,0.97919602,0.42078961
837,0.97768927,0.42778611
838,0.98951087,0.41179410
839,0.97794411,0.40279860
840,0.97505899,0.40679660
841,0.98158862,0.40579710
842,0.97894861,0.41579210
843,0.98041084,0.41679160
844,0.98510937,0.41379310
845,0.97844933,0.42478761
846,0.98510937,0.41979010
847,0.98613227,0.40279860
848,0.98339620,0.40379810
849,0.97944195,0.43478261
850,0.98552294,0.43178411
851,0.98951087,0.42078961
852,0.98064935,0.43178411
853,0.98227754,0.44177911
854,0.99149990,0.43078461
855,0.98017084,0.42278861
856,0.98933563,0.41179410
857,0.97894861,0.41979010
858,0.98653114,0.44177911
859,0.98769251,0.43878061
860,0.98711843,0.42878561
861,0.98468992,0.42878561
862,0.99226664,0.43078461
863,0.98426457,0.43278361
864,0.98862000,0.42478761
865,0.98468992,0.43578211
866,0.98447798,0.46076962
867,0.99285381,0.43778111
868,0.98490038,0.43578211
869,0.98731125,0.44677661
870,0.99226664,0.44377811
871,0.98880110,0.44277861
872,0.98898074,0.43078461
873,0.98898074,0.44077961
874,0.98510937,0.44377811
875,0.99211620,0.42878561
876,0.98672837,0.43478261
877,0.98672837,0.44677661
878,0.99226664,0.43878061
879,0.98788094,0.43578211
880,0.98915891,0.43378311
881,0.99181097,0.43978011
882,0.98572752,0.44577711
883,0.99327890,0.44477761
884,0.99134217,0.44977511
885,0.99019725,0.45377311
886,0.99434849,0.45177411
887,0.99053167,0.45377311
888,0.98951087,0.43678161
889,0.99069669,0.43778111
890,0.98915891,0.45177411
891,0.99086025,0.45077461
892,0.99544065,0.44177911
893,0.98531689,0.45777111
894,0.99620888,0.44977511
895,0.99149990,0.43578211
896,0.99434849,0.42578711
897,0.98531689,0.42778611
898,0.99053167,0.44377811
899,0.99460135,0.43778111
900,0.99019725,0.45077461
901,0.99069669,0.46376812
902,0.99718322,0.45977011
903,0.99382532,0.44977511
904,0.99460135,0.44277861
905,0.99226664,0.43978011
906,0.99327890,0.44277861
907,0.99196431,0.44577711
908,0.99434849,0.44277861
909,0.99002785,0.45677161
910,0.99651639,0.45577211
911,0.99508966,0.45077461
912,0.99369090,0.44177911
913,0.99532511,0.44277861
914,0.99165616,0.46176912
915,0.99718322,0.46276862
916,0.99631283,0.45677161
917,0.99421988,0.46176912
918,0.99857251,0.45377311
919,0.99532511,0.44777611
920,0.99241562,0.45477261
921,0.99610349,0.45077461
922,0.99421988,0.46676662
923,0.99395829,0.46976512
924,0.99718322,0.46276862
925,0.99690612,0.47576212
926,0.99577859,0.48075962
927,0.99837347,0.45777111
928,0.99484841,0.44577711
929,0.99661599,0.45777111
930,0.98915891,0.47976012
931,0.99988740,0.47076462
932,0.99520811,0.46676662
933,0.99690612,0.47476262
934,0.99909164,0.46476762
935,0.99566740,0.46476762
936,0.99808787,0.45577211
937,0.99484841,0.46376812
938,0.99753243,0.47576212
939,0.99844126,0.47176412
940,0.99801286,0.46676662
941,0.99651639,0.47676162
942,0.99850761,0.47276362
943,0.99709230,0.45977011
944,0.99857251,0.45377311
945,0.99641534,0.47976012
946,0.99844126,0.48875562
947,0.99863596,0.49675162
948,0.99850761,0.49475262
949,0.99919113,0.48575712
950,0.99869798,0.48175912
951,0.99893159,0.47076462
952,0.99610349,0.47276362
953,0.99808787,0.46976512
954,0.99881767,0.49175412
955,0.99769836,0.49275362
956,0.99997820,0.46776612
957,0.99532511,0.48075962
958,0.99953136,0.48775612
959,0.99903973,0.47076462
960,0.99919113,0.46676662
961,0.99631283,0.48375812
962,0.99830424,0.50374813
963,0.99975335,0.47676162
964,0.99793640,0.47576212
965,0.99857251,0.48175912
966,0.99830424,0.49475262
967,0.99996955,0.47076462
968,0.99690612,0.47476262
969,0.99966686,0.48675662
970,0.99982686,0.48875562
971,0.99875854,0.49375312
972,0.99988740,0.48875562
973,0.99875854,0.50574713
974,0.99999982,0.50674663
975,0.99986866,0.49575212
976,0.99932953,0.49575212
977,0.99984848,0.50774613
978,0.99984848,0.51574213
979,0.99993496,0.50174913
980,0.99969714,0.48275862
981,0.99777915,0.50874563
982,0.99998541,0.52373813
983,0.99980380,0.50674663
984,0.99984848,0.48575712
985,0.99857251,0.48875562
986,0.99953136,0.50774613
987,0.99999982,0.51474263
988,0.99969714,0.50374813
989,0.99857251,0.49775112
990,0.99966686,0.49775112
991,0.99893159,0.51074463
992,0.99914210,0.49875062
993,0.99972596,0.50474763
994,0.99977930,0.51474263
995,0.99932953,0.50374813
